molecule_id,spectrum_id,training_sources,matching_structure_count,top_prediction_matches,training_keys
m_ecbfb5,s_9676a879,enveda-180,1,True,AAUMFHIRKKPVJQ
m_ecbfb5,s_da0c2355,enveda-180,1,True,AAUMFHIRKKPVJQ
m_acfc1e,s_b110c9ae,enveda-180,1,True,AVKBFLHXXVJAOO
m_acfc1e,s_4cc5a289,enveda-180,1,True,AVKBFLHXXVJAOO
m_2f1128,s_6e858bd9,enveda-180,1,True,AAFJCAYWCZPGGU
m_2f1128,s_301dbf50,enveda-180,1,True,AAFJCAYWCZPGGU
m_2f1128,s_4ba965b4,enveda-180,1,True,AAFJCAYWCZPGGU
m_ecbfb5,s_bd87a82f,enveda-180,1,True,AAUMFHIRKKPVJQ
m_ecbfb5,s_6c7b1ece,enveda-180,1,True,AAUMFHIRKKPVJQ
m_ecbfb5,s_3f361f21,enveda-180,1,True,AAUMFHIRKKPVJQ
m_997dbc,s_387abe40,enveda-180,1,True,AAWPYOUKYVYTOC
m_997dbc,s_70d30b39,enveda-180,1,True,AAWPYOUKYVYTOC
m_b9f2b4,s_95d86d30,enveda-180,1,True,ACQGJBNBPHDYNA
m_b9f2b4,s_c9038187,enveda-180,1,True,ACQGJBNBPHDYNA
m_a3c949,s_6f8c8fe3,enveda-180,1,True,AEABCFLHUDIMJZ
m_a3c949,s_fad0b7ba,enveda-180,1,True,AEABCFLHUDIMJZ
m_8bb047,s_f81cb3bd,enveda-180,1,True,AJUNJWYDJXCEDG
m_8bb047,s_e4493067,enveda-180,1,True,AJUNJWYDJXCEDG
m_8bb047,s_20596db5,enveda-180,1,True,AJUNJWYDJXCEDG
m_f866a0,s_d55efb57,enveda-180,1,True,ANYTWNPTVLBXEP
m_f866a0,s_f74da434,enveda-180,1,True,ANYTWNPTVLBXEP
m_f866a0,s_4a131e24,enveda-180,1,True,ANYTWNPTVLBXEP
m_aef2b4,s_23af7502,enveda-180,1,True,AOJSSFMSRHKALW
m_acfc1e,s_d7af1ac0,enveda-180,1,True,AVKBFLHXXVJAOO
m_acfc1e,s_58e9ad2b,enveda-180,1,True,AVKBFLHXXVJAOO
m_347e26,s_71f3552e,enveda-180,1,True,AVPWXVRXPXHKRI
m_347e26,s_f679ac60,enveda-180,1,True,AVPWXVRXPXHKRI
m_cfb3df,s_77228aff,enveda-180,1,True,AWBWJUXMOPNKAB
m_cfb3df,s_0c8e69d9,enveda-180,1,True,AWBWJUXMOPNKAB
m_cfb3df,s_f804d248,enveda-180,1,True,AWBWJUXMOPNKAB
m_5bfac3,s_66249268,enveda-180,1,True,BEINBJRRGSASLB
